ActivityId,OppId,ActivityType,ActivityDate,OwnerId,DurationMin
AC0000001,O000001,Email,2025-06-25,U004,60
AC0000002,O000001,Email,2025-05-25,U004,30
AC0000003,O000001,Meeting,2025-05-30,U004,60
AC0000004,O000001,Email,2025-05-19,U004,15
AC0000005,O000001,Call,2025-04-20,U004,15
AC0000006,O000001,Proposal Sent,2025-06-07,U004,60
AC0000007,O000002,Email,2025-04-20,U004,45
AC0000008,O000002,Call,2025-04-13,U004,30
AC0000009,O000002,Call,2025-04-18,U004,15
AC0000010,O000003,Demo,2024-01-23,U004,60
AC0000011,O000003,Email,2023-10-17,U004,15
AC0000012,O000003,Call,2023-08-27,U004,60
AC0000013,O000003,Call,2023-08-12,U004,30
AC0000014,O000003,Call,2024-01-06,U004,60
AC0000015,O000003,Email,2024-01-11,U004,45
AC0000016,O000003,Meeting,2023-11-25,U004,15
AC0000017,O000003,Meeting,2023-10-18,U004,60
AC0000018,O000003,Email,2023-09-03,U004,45
AC0000019,O000003,Proposal Sent,2023-12-07,U004,60
AC0000020,O000003,Meeting,2023-11-26,U004,15
AC0000021,O000003,Email,2023-11-21,U004,45
AC0000022,O000003,Demo,2023-10-20,U004,30
AC0000023,O000003,Demo,2023-08-13,U004,60
AC0000024,O000003,Demo,2023-11-12,U004,15
AC0000025,O000004,Email,2025-12-05,U002,15
AC0000026,O000004,Demo,2025-09-08,U002,60
AC0000027,O000004,Meeting,2025-11-10,U002,15
AC0000028,O000004,Meeting,2025-10-04,U002,30
AC0000029,O000004,Call,2025-08-04,U002,30
AC0000030,O000004,Email,2025-11-13,U002,30
AC0000031,O000004,Call,2025-08-16,U002,60
AC0000032,O000004,Proposal Sent,2025-11-09,U002,30
AC0000033,O000004,Call,2025-11-14,U002,45
AC0000034,O000004,Demo,2025-09-28,U002,45
AC0000035,O000005,Call,2026-01-08,U002,60
AC0000036,O000005,Call,2025-12-25,U002,30
AC0000037,O000005,Proposal Sent,2026-02-20,U002,60
AC0000038,O000005,Meeting,2025-12-17,U002,45
AC0000039,O000005,Demo,2026-02-18,U002,15
AC0000040,O000006,Demo,2025-09-25,U004,60
AC0000041,O000006,Email,2025-09-17,U004,30
AC0000042,O000006,Proposal Sent,2025-10-01,U004,30
AC0000043,O000006,Email,2025-11-11,U004,15
AC0000044,O000007,Demo,2024-01-24,U004,30
AC0000045,O000007,Proposal Sent,2024-01-22,U004,30
AC0000046,O000007,Proposal Sent,2024-01-05,U004,60
AC0000047,O000008,Meeting,2025-11-28,U004,60
AC0000048,O000008,Meeting,2026-04-20,U004,45
AC0000049,O000008,Proposal Sent,2026-01-19,U004,45
AC0000050,O000009,Email,2024-12-12,U007,45
AC0000051,O000009,Proposal Sent,2025-01-15,U007,30
AC0000052,O000009,Proposal Sent,2025-01-17,U007,45
AC0000053,O000009,Proposal Sent,2025-01-10,U007,45
AC0000054,O000009,Demo,2025-01-01,U007,30
AC0000055,O000009,Meeting,2025-01-19,U007,30
AC0000056,O000009,Email,2025-01-05,U007,60
AC0000057,O000009,Call,2024-12-23,U007,60
AC0000058,O000009,Email,2024-12-12,U007,60
AC0000059,O000009,Call,2024-12-03,U007,45
AC0000060,O000009,Email,2024-12-15,U007,15
AC0000061,O000009,Proposal Sent,2025-01-01,U007,45
AC0000062,O000010,Call,2026-02-02,U003,60
AC0000063,O000010,Proposal Sent,2025-12-05,U003,15
AC0000064,O000010,Meeting,2026-02-04,U003,30
AC0000065,O000010,Meeting,2026-02-03,U003,15
AC0000066,O000011,Meeting,2024-04-26,U003,60
AC0000067,O000011,Proposal Sent,2024-06-22,U003,45
AC0000068,O000011,Meeting,2024-06-08,U003,60
AC0000069,O000011,Meeting,2024-05-31,U003,30
AC0000070,O000011,Call,2024-06-04,U003,30
AC0000071,O000011,Call,2024-06-22,U003,30
AC0000072,O000012,Email,2023-11-01,U006,15
AC0000073,O000012,Email,2023-11-17,U006,45
AC0000074,O000012,Proposal Sent,2023-11-03,U006,60
