OppId,AccountId,OppName,Stage,Amount,Probability,CreatedDate,CloseDate,OwnerId,LossReason
O000001,A00001,Account-00001 - Annual,02 - Qualification,83000.0,0.25,2025-04-18,2025-06-25,U004,
O000002,A00001,Account-00001 - Expansion,03 - Needs Analysis,103300.0,0.4,2025-03-15,2025-05-22,U004,
O000003,A00001,Account-00001 - Annual,06 - Closed Won,29400.0,1.0,2023-08-09,2024-01-26,U004,
O000004,A00002,Account-00002 - Multi-Year,05 - Negotiation,16800.0,0.8,2025-07-11,2025-12-07,U002,
O000005,A00002,Account-00002 - New Logo,01 - Prospecting,19700.0,0.1,2025-10-18,2026-03-28,U002,
O000006,A00003,Account-00003 - Renewal,07 - Closed Lost,20600.0,0.0,2025-09-16,2025-11-20,U004,Competitor
O000007,A00003,Account-00003 - Expansion,02 - Qualification,18200.0,0.25,2023-09-20,2024-03-13,U004,
O000008,A00003,Account-00003 - Multi-Year,07 - Closed Lost,13400.0,0.0,2025-10-29,2026-04-22,U004,No Decision
O000009,A00004,Account-00004 - Multi-Year,07 - Closed Lost,68000.0,0.0,2024-12-03,2025-01-26,U007,Timing
O000010,A00005,Account-00005 - Renewal,04 - Proposal,19000.0,0.6,2025-11-15,2026-02-23,U003,
O000011,A00005,Account-00005 - Expansion,03 - Needs Analysis,17500.0,0.4,2024-03-21,2024-06-23,U003,
O000012,A00006,Account-00006 - Renewal,07 - Closed Lost,18000.0,0.0,2023-09-29,2023-12-03,U006,Product Fit
O000013,A00006,Account-00006 - New Logo,06 - Closed Won,20200.0,1.0,2024-10-22,2025-04-03,U006,
O000014,A00006,Account-00006 - Renewal,06 - Closed Won,18300.0,1.0,2026-04-08,2026-08-12,U006,
O000015,A00007,Account-00007 - New Logo,07 - Closed Lost,15500.0,0.0,2025-05-15,2025-06-10,U006,Competitor
O000016,A00008,Account-00008 - Expansion,03 - Needs Analysis,96300.0,0.4,2023-04-26,2023-06-26,U002,
O000017,A00009,Account-00009 - Multi-Year,07 - Closed Lost,18800.0,0.0,2023-10-27,2024-01-30,U006,Product Fit
O000018,A00009,Account-00009 - Renewal,04 - Proposal,14100.0,0.6,2023-03-08,2023-09-01,U006,
O000019,A00010,Account-00010 - Annual,04 - Proposal,73500.0,0.6,2026-02-23,2026-05-27,U005,
O000020,A00010,Account-00010 - Renewal,04 - Proposal,115900.0,0.6,2025-02-20,2025-05-31,U005,
