UsageId,AccountId,SubscriptionId,Month,Seats,MAU,MAURatio,Sessions,FeatureAdoptionRate
U0000001,A00001,SUB00001,2025-06-01,250,115,0.46,3998,0.29
U0000002,A00001,SUB00001,2025-07-01,250,118,0.475,1365,0.68
U0000003,A00001,SUB00001,2025-08-01,250,122,0.49,1500,0.32
U0000004,A00001,SUB00001,2025-09-01,250,126,0.505,3437,0.65
U0000005,A00001,SUB00001,2025-10-01,250,130,0.52,2269,0.29
U0000006,A00001,SUB00001,2025-11-01,250,133,0.535,1905,0.29
U0000007,A00006,SUB00002,2025-06-01,100,30,0.308,1006,0.69
U0000008,A00006,SUB00002,2025-07-01,100,32,0.323,771,0.58
U0000009,A00006,SUB00002,2025-08-01,100,33,0.338,722,0.25
U0000010,A00006,SUB00002,2025-09-01,100,35,0.353,1151,0.39
U0000011,A00006,SUB00002,2025-10-01,100,36,0.368,798,0.48
U0000012,A00006,SUB00002,2025-11-01,100,38,0.383,1249,0.65
U0000013,A00006,SUB00002,2025-12-01,100,39,0.398,1182,0.34
U0000014,A00006,SUB00002,2026-01-01,100,41,0.413,637,0.73
U0000015,A00006,SUB00002,2026-02-01,100,42,0.428,1284,0.76
U0000016,A00006,SUB00002,2026-03-01,100,44,0.443,448,0.51
U0000017,A00006,SUB00002,2026-04-01,100,45,0.458,1169,0.71
U0000018,A00006,SUB00002,2026-05-01,100,47,0.473,1399,0.38
U0000019,A00011,SUB00003,2025-10-01,50,28,0.561,966,0.44
U0000020,A00011,SUB00003,2025-11-01,50,26,0.536,589,0.75
U0000021,A00011,SUB00003,2025-12-01,50,25,0.511,566,0.28
U0000022,A00011,SUB00003,2026-01-01,50,24,0.486,658,0.55
U0000023,A00011,SUB00003,2026-02-01,50,23,0.461,212,0.79
U0000024,A00011,SUB00003,2026-03-01,50,21,0.436,524,0.27
U0000025,A00011,SUB00003,2026-04-01,50,20,0.411,594,0.32
U0000026,A00011,SUB00003,2026-05-01,50,19,0.386,568,0.35
U0000027,A00014,SUB00004,2025-06-01,10,2,0.285,36,0.26
U0000028,A00014,SUB00004,2025-07-01,10,4,0.483,60,0.62
U0000029,A00014,SUB00004,2025-08-01,10,4,0.493,125,0.52
U0000030,A00014,SUB00004,2025-09-01,10,4,0.475,72,0.66
U0000031,A00014,SUB00004,2025-10-01,10,2,0.264,61,0.29
U0000032,A00014,SUB00004,2025-11-01,10,1,0.173,25,0.88
U0000033,A00014,SUB00004,2025-12-01,10,1,0.153,16,0.32
U0000034,A00014,SUB00004,2026-01-01,10,2,0.256,31,0.68
U0000035,A00014,SUB00004,2026-02-01,10,4,0.406,45,0.27
U0000036,A00014,SUB00004,2026-03-01,10,1,0.167,24,0.29
U0000037,A00014,SUB00004,2026-04-01,10,4,0.416,126,0.32
U0000038,A00014,SUB00004,2026-05-01,10,4,0.449,90,0.46
U0000039,A00017,SUB00005,2025-12-01,100,46,0.466,811,0.21
U0000040,A00017,SUB00005,2026-01-01,100,45,0.451,792,0.75
U0000041,A00017,SUB00005,2026-02-01,100,47,0.475,1600,0.32
U0000042,A00017,SUB00005,2026-03-01,100,40,0.406,948,0.81
U0000043,A00017,SUB00005,2026-04-01,100,43,0.432,872,0.85
U0000044,A00017,SUB00005,2026-05-01,100,46,0.465,891,0.37
U0000045,A00019,SUB00006,2025-06-01,10,5,0.514,45,0.33
U0000046,A00019,SUB00006,2025-07-01,10,5,0.529,163,0.83
U0000047,A00019,SUB00006,2025-08-01,10,5,0.544,100,0.52
U0000048,A00019,SUB00006,2025-09-01,10,5,0.559,108,0.6
U0000049,A00019,SUB00006,2025-10-01,10,5,0.574,136,0.27
